date,platform,total_fee,total_transport_cost,total_partner_payout
2021-06-12,Amazon,70.94,7,180.37
2021-06-18,Amazon,881.41,139.5,776.51
2021-06-18,Ebay,361.51,55.5,523
2021-06-18,Bol,2729.23,305.5,2522.32
2021-06-18,Bva NL,460.22,63.5,365.5
2021-06-19,Amazon,2594.87,427.5,3859.96
2021-06-19,Ebay,1565.81,212,3122.14
2021-06-19,Bol,10409.78,1183.5,12992.76
2021-06-19,Bva NL,287.22,50,169.34
2021-06-20,Bol,7821.11,917.5,9375.58
2021-06-20,Amazon,1247.13,161.5,2320.64
2021-06-20,Ebay,735.41,123.5,1174.08
2021-06-20,Blokker,63.33,7,43.45
2021-06-20,Bva NL,134.4,21,0.2
2021-06-21,Bol,114.17,7.5,179.82
2021-06-22,Bva NL,35.07,3.5,78.43
2021-06-22,Bol,59.58,7,46.12
2021-06-23,Bol,123.81,22,98.12
2021-06-23,Ebay,59.68,10,121.81
2021-06-23,Bva NL,98.08,7,126.58
2021-06-24,Ebay,23.58,6.5,14.35
2021-06-24,Bol,171.3,18.5,265.19
2021-06-24,Amazon,49.44,5,70.24
2021-06-24,Bva NL,31.72,7,-7.15
2021-06-25,Ebay,21.24,6.5,7.7
2021-06-25,Amazon,37.4,7,-2.85
2021-06-25,Bol,51.08,8,65.06
2021-06-26,Ebay,27.81,5,23.43
2021-06-26,Bol,80.28,10.5,71.9
2021-06-27,Amazon,28.07,6.5,34.98
2021-06-27,Bol,144.45,15,225.51
2021-06-27,Bva NL,23.65,3.5,13.79
2021-06-28,Bol,217.57,23,415.96
2021-06-28,Bva NL,113.01,14.5,36.27
2021-06-28,Ebay,78.6,13.5,155.16
2021-06-29,Bol,303.63,32.5,398.05
2021-06-29,Ebay,178.82,10,435.95
2021-06-29,Bva NL,18.74,3.5,-4.7
2021-06-30,Bol,89.33,10.5,71.13
2021-06-30,Bva NL,34.7,7,-1.94
2021-07-01,Amazon,72.52,11.5,97.43
2021-07-01,Bol,109.98,18,43.16
2021-07-03,Bol,25.68,3.5,53.7
2021-07-03,Bva NL,12.64,3.5,-3.26
2021-07-04,Bol,82.55,7,219.76
2021-07-05,Bva NL,53.66,7.5,9.04
2021-07-05,Bol,36.65,3.5,13.61
2021-07-06,Bol,210.85,18,485.7
2021-07-06,Bva NL,24.89,3.5,18.41
2021-07-07,Bol,112.25,17.5,146.44
2021-07-07,Amazon,33.87,6.5,-14.12
2021-07-07,Ebay,23.59,5,6.72
2021-07-08,Bol,23.86,3.5,7.41
2021-07-09,Bol,207.99,7.5,823.02
2021-07-09,Bva NL,24.13,4,1.12
2021-07-10,Bol,43.98,7,35.18
2021-07-11,Bol,25.36,4,61.38
2021-07-12,Ebay,32.02,5,-5.89
2021-07-12,Bol,165.89,17.5,322.66
2021-07-12,Bva NL,13.28,3.5,6.62
2021-07-13,Ebay,35.43,5,49.18
2021-07-13,Amazon,39.18,5,63.99
2021-07-13,Bol,248.72,21,617.2
2021-07-14,Bol,135.11,14.5,319.52
2021-07-14,Bva NL,52.9,7,46.57
2021-07-15,Ebay,16.91,5,3.59
2021-07-15,Amazon,40.72,5,4.88
2021-07-15,Bol,99.94,14,74.12
2021-07-16,Bol,71.94,10.5,133.43
2021-07-16,Amazon,58.04,4,151.88
2021-07-17,Bol,294.08,32.5,42.25
2021-07-17,Bva NL,66.87,7,9.2
2021-07-18,Amazon,104.26,17,100.5
2021-07-18,Bol,163.35,18.5,47.56
2021-07-18,Ebay,30.26,5,23.35
2021-07-18,Bva NL,41.37,7,5.45
2021-07-19,Bol,82.85,14,77.95
2021-07-19,Amazon,52.36,5,83.98
2021-07-19,Ebay,88.47,5,230.46
2021-07-19,Bva NL,18.71,3.5,18.73
2021-07-20,Bol,129.2,14.5,169.41
2021-07-21,Bol,29.63,3.5,4.67
2021-07-22,Ebay,60.23,5,182.11
2021-07-22,Bva NL,24.37,3.5,7.23
2021-07-22,Bol,40.94,7,13.93
2021-07-24,Bol,20.82,4,12.86
2021-07-25,Bol,128.18,14,125.28
2021-07-26,Amazon,17.82,7,0.87
2021-07-27,Ebay,55.98,5,107.62
2021-07-27,Bol,23.18,3.5,5.52
2021-07-28,Amazon,47.84,6.5,105.54
2021-07-28,Bol,172.82,14,398.69
2021-07-29,Ebay,41.43,6.5,106.85
2021-07-29,Amazon,25.69,6.5,-5.22
2021-07-30,Bol,36.09,3.5,95.56
2021-07-31,Amazon,26.67,6.5,16.29
2021-07-31,Bol,126.23,14.5,127.41
2021-07-31,Ebay,63.25,5,270.04
2021-07-31,Bva NL,27.5,3.5,16.98
2021-08-01,Bva NL,34.18,7,61.79
2021-08-01,Ebay,24.42,5,11.15
2021-08-01,Bol,246.52,14,855.04
2021-08-02,Bol,76.77,7,56.09
2021-08-03,Bol,71.43,10.5,0.69
2021-08-05,Bol,39.73,4,94.11
2021-08-06,Bol,92.21,7,114.16
2021-08-06,Bva NL,16.51,3.5,10.41
2021-08-07,Ebay,134.64,10,346.52
2021-08-07,Amazon,24.04,5,3.2
2021-08-09,Bol,19.63,3.5,9.79
2021-08-11,Bol,100.64,7.5,245.31
2021-08-11,Amazon,27.38,5,60.67
2021-08-11,Bva NL,40.64,7,-20.73
2021-08-13,Bol,20.63,3.5,34.89
2021-08-13,Bva NL,15.74,3.5,15.86
2021-08-15,Bol,30.93,3.5,-19.94
2021-08-18,Bol,113.65,3.5,371.15
2021-08-19,Ebay,33.12,6.5,2.76
2021-08-19,Bol,324.21,21.5,793.58
2021-08-19,Bva NL,43.79,3.5,75.56
2021-08-20,Bva NL,46.76,11,17.12
2021-08-20,Bol,234.9,15.5,340.77
2021-08-20,Ebay,31.11,5,58.86
2021-08-21,Bol,139.81,14.5,224.2
2021-08-22,Bol,90.2,11,45.02
2021-08-23,Amazon,60.15,5,190.58
2021-08-23,Bol,110.09,10.5,85.86
2021-08-24,Bol,43.57,4,16.96
2021-08-24,Bva NL,10.58,3.5,-3.55
2021-08-25,Bol,135.89,7,412.72
2021-08-30,Bol,157.14,17.5,311.53
2021-08-31,Bol,79.32,14,131.09
2021-08-31,Amazon,23.85,5,7.38
2021-09-01,Bva NL,53.8,7.5,39.32
2021-09-01,Bol,116.6,11,273.25
2021-09-02,Bol,45.46,7.5,81.99
2021-09-02,Bva NL,49.21,7,70.16
2021-09-03,Amazon,57.94,6.5,92.8
2021-09-03,Bol,90.24,7,144.52
2021-09-04,Ebay,57.12,5,187.17
2021-09-04,Bol,22.05,3.5,4.65
2021-09-05,Amazon,36.97,11.5,18.13
2021-09-06,Bol,59.53,11,33.71
2021-09-06,Bva NL,163.54,7.5,479.48
2021-09-07,Bol,94.31,14,-9.45
2021-09-09,Bva NL,15.77,3.5,7.64
2021-09-10,Bol,108.33,14.5,162.67
2021-09-10,Bva NL,39.18,3.5,74.32
2021-09-11,Bol,27.71,3.5,1.8
2021-09-12,Bol,22.21,3.5,35.36
2021-09-13,Amazon,65.98,11.5,151.73
2021-09-13,Ebay,54.34,5,153.26
2021-09-14,Bol,35.33,4,6.77
2021-09-15,Ebay,19.64,5,16.79
2021-09-15,Amazon,25.45,5,-5.27
2021-09-15,Bol,81.83,7,184.86
2021-09-15,Bva NL,16.48,3.5,-1.26
2021-09-16,Bva NL,29.31,4,-19.28
2021-09-19,Amazon,32.99,5,69.53
2021-09-19,Bva NL,34.66,3.5,67.14
2021-09-20,Bol,161,10.5,529.35
2021-09-21,Bol,72.43,7,180.98
2021-09-22,Bol,102.7,14,138.67
2021-09-23,Ebay,31.89,3.5,40.63
2021-09-23,Bva NL,10.09,3.5,-5.4
2021-09-24,Bol,48.85,7.5,9.53
2021-09-24,Bva NL,28.09,3.5,-23.4
2021-09-26,Bva NL,12.05,3.5,1.99
2021-09-27,Bva NL,65.23,7.5,31.39
2021-09-27,Bol,188.19,14.5,463.84
2021-09-28,Bol,87.13,15,58.22
2021-09-28,Bva NL,71.15,7,49.39
2021-09-29,Bol,59.86,7,178.92
2021-09-30,Bol,233.38,24.5,562.22
2021-09-30,Ebay,67.68,7,164.58
2021-09-30,Amazon,35.09,4,67.88
2021-09-30,Bva NL,68.16,7,30.13
2021-10-01,Amazon,104.81,5,152.04
2021-10-01,Bol,25.31,3.5,7.83
2021-10-03,Bol,16.1,4,10.5
2021-10-03,Bva NL,34.48,3.5,0.63
2021-10-04,Bol,265.8,14.5,952.01
2021-10-05,Ebay,49.52,5,177.16
2021-10-05,Bva NL,58.55,7,67.83
2021-10-05,Bol,18.7,3.5,4.73
2021-10-06,Bva NL,30.05,3.5,-16.01
2021-10-06,Bol,43.69,7,98.8
2021-10-07,Bva NL,37.89,7.5,-5.63
2021-10-09,Bol,51.72,3.5,44.92
2021-10-10,Bol,68.46,11,38.63
2021-10-10,Bva NL,29.31,3.5,-18.78
2021-10-11,Ebay,35.85,5,68.59
2021-10-11,Bol,75.14,7,52.1
2021-10-12,Bol,102.75,4,386.54
2021-10-12,Amazon,20.13,5,15.46
2021-10-13,Bol,75.38,10.5,65.28
2021-10-13,Bva NL,108.82,14,4.73
2021-10-14,Bol,58.27,8,44.07
2021-10-15,Bol,40.77,10.5,52.11
2021-10-15,Amazon,14.11,7,-7.78
2021-10-17,Bol,267.36,21.5,610.66
2021-10-17,Bva NL,17.02,3.5,-6.49
2021-10-18,Bol,15.89,3.5,22.83
2021-10-18,Bva NL,27.31,7,16.01
2021-10-19,Bol,65.04,11,16.3
2021-10-20,Bol,30,4,12.64
2021-10-20,Bva NL,18.69,3.5,7.06
2021-10-21,Bol,63.5,11,120.32
2021-10-23,Bol,19.14,4,24.43
2021-10-24,Bol,36.97,7.5,54.76
2021-10-26,Bol,68.99,7.5,155.64
2021-10-27,Ebay,32.19,5,92.28
2021-10-29,Bol,60.55,7.5,111.66
